,Name,Also known as,Description,Substitutions,Scientific name
281,caviar,"Malossol caviar, payusnaya caviar, pressed caviar, sturgeon roe","Over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using roe from more abundant species until the Caspian Sea sturgeon populations can recover.Caviar is known for its subtle, buttery flavor, sensuous texture, and high price. It should always be served cold.Just as diamonds are rated according to the four Cs, caviar can be evaluated by the three Fs--flavor, firmness, and freshness. The flavor of caviar depends on the sturgeon's species and habitat, and is variously described as buttery, nutty, sweet, fruity, earthy, briny, and even herbaceous. The firmness of each egg determines how the eggs burst when you squeeze them against the roof of your mouth with your tongue. Fresh caviar is considered much better than the pasteurized version.Varieties: (from highest to lowest price) imperial caviar, beluga caviar, ossetra caviar, and sevruga caviar. Imperial caviar is the rarest and most expensive. Beluga caviar is soft, and almost melts in your mouth. Ossetra and sevruga caviars are relatively firm, and will pop when gently squeezed. Within these categories, malossol, or lightly salted caviar, is of higher quality than pressed caviar = payusnaya.If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.Equivalents: 2 tablespoons = 1 ounceFresh caviar lasts just over a year if properly stored, though its shelf-life can be extended with heavy salting. Experts claim that some of the fresh caviar that's being sold at bargain prices over the Internet is well past its prime. The color and size of the eggs--called the bead--can help you (and your guests) identify the different varieties of caviar.","['hackleback roe', 'paddlefish roe', 'salmon roe', 'lumpfish roe', 'bowfin roe']",
282,cherrystone clam,"chowder clams, hard clam, quahog",,"['Manila clam', 'littleneck clams']",Mercenaria mercenaria
283,Chilean sea bass,Patagonian toothfish,,['sablefish'],Dissostichus eleginoides
284,chinook salmon,"king salmon, spring salmon",,['coho salmon'],Oncorhynchus tshawytscha
285,chum salmon,"dog salmon, keta salmon, silverbrite salmon",,"['coho salmon', 'chinook salmon']",Oncorhynchus keta
286,clam,,"See also pismo clam, soft-shell clam, razor clam, Manila clam, hard-shell clam, bar clam, and geoduck clam. Storage: Unopened canned clams can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.","['mussels', 'cockle', 'abalone', 'scallop']",
287,cobia,"black bonito, black kingfish, black salmon, coalfish, crabeater, lemonfish, ling, sergeant fish",,"['monkfish', 'shark']",Rachycentron canadum
288,cockle,,,['clam'],Cardiidae
289,cod,"cod cheeks, cod sounds, cod tongues, codling, markets, schrod, scrod, streakers","This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.","['pollock', 'cape capensis', 'halibut', 'sole', 'flounder', 'orange roughy', 'haddock', 'whiting', 'hake', 'ocean perch', 'tilapia', 'catfish', 'tilefish']",Gadidae
290,almond filling,,This sweet filling is used to make pastries and cakes.,"['almond paste', 'marzipan', 'hazelnut paste']",Prunus dulcis
291,almond paste,Bitter almond paste,"This is a paste made with finely ground blanched almonds, sugar, glycerin, and sometimes almond extract.   Bakers use it to make cakes and cookies.   Bitter almond paste is flavored with oil of bitter almonds, and is worth seeking out if you plan to make amaretti.  Look for tubes or cans of it among the baking supplies at your supermarket.",['marzipan'],Prunus dulcis
292,amchoor,"aamchur, amchor, amchur, dried green mango, dried mango powder, green mango powder, umchoor","This is made from sun-dried mangoes, and it's used as a souring agent or to tenderize meats.  Indian or Middle Eastern grocery stores carry it.","['lemon juice', 'lime juice', 'tamarind', 'mango', 'papaya']",
293,angelica,"archangel, ground ash, masterwort","Angelica is prized for its crunchy stems, which are often candied and used to decorate baked goods.  You can also use the leaves and stems to add a celery flavor to liqueurs, sauces, and vegetable side dishes.","['lovage', 'tarragon']",Angelica
294,Angostura® bitters,"Angostura aromatic bitters, aromatic bitters","This famous rum-based brand of bitters was first developed in the 1800s by Simon Bolivar's personal physician. It's 45% alcohol, and comes in small brown bottles with yellow caps. It's now produced in Trinidad.","[""Peychaud's bitters"", 'Fernet Branca', 'orange bitters', 'Worcestershire sauce']",
295,anise basil,"bai horapha, húng qu?, licorice basil, Thai basil",This is used in Southeast Asia.,"['holy basil', 'mint']","Ocimum basilicum, licorice"
296,anise extract,,"This tastes like licorice, and it's typically used to flavor cakes and cookies.","['anise oil', 'anise-flavored liqueurs', 'anise seed', 'vanilla extract']",Pimpinella anisum
297,anise oil,,"This imparts a licorice flavor to foods. Look for it near the spices in large supermarkets or in candy supply stores or pharmacies. You can store flavoring oils indefinitely in a cool, dark place.",['anise extract'],Pimpinella anisum
298,anise seed,"anis, aniseed","Cooks use anise seed to impart a licorice flavor to baked goods, liqueurs, and candies.","['fennel seed', 'star anise', 'caraway seed', 'tarragon']",Pimpinella anisum
299,annatto seeds,"achiote seed, achote seed, achuete seed, annotto seed, atsuete seed, bija, bijol, roucou","Annatto seeds don't have a lot of flavor, but they impart a rich reddish-orange color to stews and sauces. Look for the seeds, either whole or ground, in Latin American or Caribbean markets. To extract the color, steep the seeds in boiling water for about 20 minutes, then discard the seeds.","['food coloring', 'paprika', 'turmeric']",Bixa orellana
300,apéritif,"aperitif, apertivo","Apéritifs are alcoholic drinks that, like appetizers, are served before dinner to perk up the appetite and wake up the taste buds. Examples include fortified wines, herbal and bitter liqueurs, and sparkling wines. Europeans often prefer these over cocktails.",[],
301,apple brandy,"apple jack (is the inferior American version), applejack (is the inferior American version), calva (cal-VAH-dohs the French version), Calvados (cal-VAH-dohs the French version), cider brandy, eau-de-vie de cidre, eau-de-vie de marc de cidre","This exquisite brandy has a soft apple fragrance. Calvados = calva (cal-VAH-dohs) is the French version, applejack = apple jack is the inferior American version. Calvados is ranked much like cognac. The very best Calvados are labeled Napoleon, Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP, Vieille Reserve, or VO. Next come Vieux or Reserve Calvados, then those with three stars or three apples on their labels.","['pear brandy', 'apple juice']",
302,apple cider,,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",['apple juice'],Malus domestica
303,apple juice,,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.",['apple cider'],Malus domestica
304,apple pie spice,,,['cardamom'],
305,apricot brandy,"Abricotine, barack, Barack Pálinka","This is distilled from apricot juice. Brands include the French Abricotine, and the Hungarian Barack Pálinka.","['apricot liqueur', 'cherry brandy', 'orange liqueur']",
306,Armagnac,,"This French brandy is similar to cognac, but with a more pronounced flavor.   Since their quality varies, Armagnac brandies don't share cognac's exalted reputation, but a good Armagnac compares favorably with any cognac.",['cognac'],
307,aromatized wine,flavored wine,"These are wines, like vermouth and retsina, that have been flavored, usually with herbs and spices.",[],
308,asafetida,"asafoetida, asafoetida powder, devil's dung, ferula, foetida, food of the gods, heeng, hing, imguva",This powdered gum resin imparts a very strong onion-garlic flavor to Indian dishes. Use it sparingly—a little goes a long way.  Look for it in Indian or health food stores or in the spice section of larger supermarkets.,"['garlic powder', 'onion powder']",
309,asem candis,,This is a souring agent used in Indonesia.  It's very hard to find,['kokum'],
310,aspartame,"Equal, Nutrasweet",An artifical sweetner. Popular brands are Equal and Nutrasweet.,"['acesulfame K', 'advantame', 'saccarin', 'sucralose', 'Neotame']",
311,avocado leaves,hoja de aguacate,"Mexican cooks use these to impart an anise-like aroma to foods.  They're often used as wrappers, or crumbled into stews.  Toast the leaves before using.","['banana', 'hoja santa leaves', 'fennel', 'maguey leaves']",Persea americana
312,ambrosia apple,,"Crisp and juicy, this is a great apple for snacking.","['honeycrisp apples', 'Fuji apple', 'Pink Lady apple']",Malus domestica
313,ambrosia melon,,"This looks and tastes like a cantaloupe, but the flesh is a brighter orange.",['cantaloupe'],"Cucumis melo, ambrosia"
314,American eggplant,globe eggplant,"This is the familiar large, dark purple, pear-shaped variety. Choose small or medium-sized eggplants (these have fewer bitter seeds) with healthy-looking green stems that are firm to the touch, but not too hard. Avoid mushy ones. Store them in the refrigerator.","['Italian eggplant', 'Japanese eggplant']",Solanum melongena
315,Anaheim chili,"Anaheim chile, Anaheim chili pepper, Anaheim chilli, California green chili, california red chili (when mature and red), chile colorado (when mature and red), chile verde (CHEE-lay VER-day), long green pepper","These large, mild chiles are perfect for chiles rellenos. Mexican cooks also like to dice or purée them, and then add them to sauces, soups, and casseroles. They have a tough skin, but it peels off easily if you first char the chiles over a flame and then steam them in a paper bag for several minutes. Anaheims are available year-round, but they're best in the summer. You can occasionally find red Anaheims, which are riper and slightly hotter. When dried, this pepper is called a chile Colorado.","['New Mexico green chili', 'poblano pepper ', 'green chile canned']",
316,ancho chili,"ancho chile, ancho chino, chile color, chile colorado, dried poblano, pasilla chile (incorrectly), pasilla rojo","These mild, dried poblano peppers have a sweet, fruity flavor and are a staple in Mexican cuisine. They're brownish-black and wrinkled, and commonly used in adobos, moles, salsas, and various sauces.","['mulato chili ', 'pasilla chili', 'poblano pepper ', 'California chili ', 'New Mexico red chili']",Capsicum annuum
317,angled loofa,"angled loofah, angled luffa, Chinese loofah, Chinese okra, dish cloth gourd, luffa angled gourd, luffa gourd, ribbed loofah, ridge gourd, ridged gourd, silk gourd, silky gourd, sinkwa towelsponge, sponge gourd, vegetable gourd","A native of Pakistan, this mild vegetable has a slightly bitter edge that pairs well with sweet and acidic ingredients in stir-fry dishes. You can also eat it raw, or dry it to make a loofa sponge.You can leave the peel on, but some people find the flavor off-putting. Remove any large seeds if you wish to cut the bitterness.","['zucchini', 'cucumber']",
318,Anjou pear,"Beurré d'Anjou, d'Anjou pear","These economical pears aren't as tasty as some of the other varieties, but they're still good for both eating and cooking. The peel stays light green even when the pear is ripe.","['Asian pear', 'Bartlett pear']","Pyrus communis, D'Anjou"
319,apple green eggplant,"applegreen eggplant, green apple eggplant","These eggplant resemble green apples, and are mild and sweet. You don't need to peel them.",[],Solanum melongena
320,apricot,,"Like other stone fruit, apricots are sweetest--and most prone to bruising--when they're allowed to ripen on the tree.  But unless you can pick your own, you'll probably have to make do with the slightly underripe, more durable apricots sold in markets.  Allow them to soften at room temperature for a few days before eating them.  They're best in the summer.","['aprium', 'pluot', 'peach', 'nectarine']",Prunus armeniaca
321,aprium,"plumcots, pluots","This is an apricot/plum cross, with apricot dominating.","['pluot', 'apricot', 'plum']",Prunus
322,Arkansas Black apple,,This apple is renown for its long shelf life. It's good for making sauce and baking.,[],Malus domestica
323,Armenian cucumber,"snake cucumber, snake melon, This is hard to find, but one of the best-regarded slicing cucumbers.  It's crisp, thin-skinned, and mild-flavored, and it has soft seeds.  Like the English cucumber, it doesn't need to be peeled or seeded.  It's not good for pickling., uri",,['English cucumber'],
324,asam keping,"asam gelugor, tamarind slice",,"['tamarind paste', 'tamarind', 'dark brown sugar']",
325,Asian eggplants,"Chinese eggplants, Japanese eggplants, Oriental eggplants","Include Japanese eggplants and Chinese eggplants, have thinner skins and a more delicate flavor than American eggplants, and not as many of the seeds that tend to make eggplants bitter. They're usually more slender than American eggplants, but they vary in size and shape. They range in color from lavender to pink, green, and white.","['Eggplants', 'Japanese eggplant', 'Chinese eggplant', 'zucchini']",Solanum melongena
326,Asian pear,"apple pear, Chinese pear, Japanese pear, nashi, nashi pear, Oriental pear, salad pear, sand pear","Asian pears are crunchy, juicy, and very fragrant. Growers produce over twenty different varieties in an assortment of sizes and colors. They're often served raw, but they can also be cooked, though they never become as soft as cooked pears.","['Bosc pear', 'apple', 'quince']",Pyrus pyrifolia
327,atemoya,,This cherimoya-sweetsop cross has sweet custard-like pulp. Look for it in specialty produce markets during the fall,"['cherimoya', 'sweetsop', 'mango']",
328,autumn royal grapes,,These are large dark purple sweet seedless grapes.,"['flame seedless grapes', 'red globe grapes']",Vitis vinifera
329,baby kiwifruit,,You can eat this tiny kiwifruit hybrid skin and all.,['grapes'],"Actinidia deliciosa, Hayward"
330,bacon avocado,,"This sweet, smooth-skinned variety shows up in the middle of winter.  It's not as flavorful as other avocados.","['avocado', 'chayote', 'fresh peas', 'asparagus', 'broccoli', 'artichoke hearts']",Persea americana
331,Baldwin apple,,"This is a fairly sweet, all-purpose apple, but it's hard to find.",[],Malus domestica
332,banana,"burro banana, Cavendish bananas, chunkey, chunky, red banana","Most of the bananas you and I have eaten in our lifetimes are the yellow Cavendish bananas. The burro banana = chunkey = chunky is shorter than the Cavendish, and has an interesting lemony flavor. The manzano banana is smaller yet and a bit drier, but it fits nicely into lunch boxes. The red banana has a purple peel and is best used for baking. The plantain is larger than other banana varieties, and is usually fried, baked, or mashed before eating. Yellow bananas with a few dark spots are ripe and ready to eat, while green ones will ripen at room temperature in just a few days. Refrigerating ripe bananas will keep them from getting softy and mushy, though the peels will darken.","['plantain', 'mango']","Musa acuminata, cavendish"
333,almond flour,,,['almond meal'],Prunus dulcis
334,almond meal,,"Specialty stores carry this, but you can get it for less at Middle Eastern markets.","['almonds, blanched', 'almond flour']",Prunus dulcis
335,alphabets,alfabeto,These tiny pasta shapes are usually served in a broth or very light soup.,['soup pasta'],
336,amaranth flour,"flour, amaranth",,"['wheat flour', 'all-purpose flour']",
337,amorini,,These tiny pasta shapes are usually served in a broth or very light soup.,['soup pasta'],
338,anelli,anelletti,This variety of Italian pasta consists of small rings.  It's used in soups and pasta salads.  A tiny version is called anellini.,"['tubetti', 'ditali', 'ditalini', 'soup pasta']",
339,anellini,,"These are shaped like rings, and used as a soup pasta.",['soup pasta'],
340,angel hair pasta,"angel's hair pasta, angel-hair pasta, capelli d'angelo, fine hair","Angel hair pasta is like spaghetti, only the rods are very thin.  It's usually served in a broth or with very thin and delicate sauces.","['capellini', 'vermicelli', 'taglierini', 'spaghetti']",
341,arrowroot starch,"arrowroot, arrowroot flour, arrowroot powder","This starch thickener has several advantages over cornstarch. It has a more neutral flavor, so it's a good thickener for delicately flavored sauces. It also works at a lower temperature, and tolerates acidic ingredients and prolonged cooking better. And while sauces thickened with cornstarch turn into a spongy mess if they're frozen, those made with arrowroot can be frozen and thawed with impunity. The downside is that arrowroot is pricier than cornstarch, and it's not a good thickener for dairy-based sauces, since it turns them slimy. 
Arrowroot also imparts a shiny gloss to foods, and while it can make a dessert sauce glow spectacularly, it can make a meat sauce look eerie and fake. To thicken with arrowroot, mix it with an equal amount of cold water, then whisk the slurry into a hot liquid for about 30 seconds. Look for it in Asian markets and health food stores. Equivalents: One tablespoon thickens one cup of liquid. Substitutes: tapioca starch (very similar) OR Instant ClearJel® OR cornstarch (Cornstarch doesn't impart as glossy a finish and can leave a starchy taste if undercooked.) OR kudzu powder OR potato starch OR rice starch OR flour (Flour makes an opaque sauce, imparts a floury taste, and can easily turn lumpy. Use twice as much flour as arrowroot.)","['tapioca starch', 'Instant Clearjel', 'corn starch', 'kudzu powder', 'potato starch', 'flour', 'rice starch']",
342,arrowroot vermicelli,,These slender white Asian noodles are made from arrowroot starch.  They resemble bean threads.,['bean threads'],
343,Asian noodles,"alimentary paste, imitation noodles","Until recently, the U.S. government required a noodle to contain flour, water, and eggs to be rightly called a noodle. Since most Asian noodles aren't made with eggs, this left them without much of an identity. The FDA permitted names like ""alimentary paste"" and ""imitation noodles,"" but Asian noodle producers--from the birthplace of the noodle no less--could not use the n-word. The government finally relented, and we can now use the name ""Asian noodles.""",['pasta'],
344,Asian rice noodles,,"Rice noodles are made with rice flour, and are especially popular in Southeast Asia.   It's easy to find dried rice noodles in large supermarkets, but you'll probably have to visit an Asian market to find them fresh.   Rice noodles should be soaked in hot water before using.  When they're soft and transparent, drain them and…","['quinoa pasta', 'rice pasta']",
345,Asian wheat noodles,,"These are made with wheat flour, salt, water, and sometimes eggs and flavorings.   Always cook wheat noodles in plenty of boiling water.  Some Asian cooks recommend cooking them until they're al dente (cooked through, but still firm), while others suggest cooking them a bit longer to make them softer.  Rinse the noodles in cold water after they're done and let them drain.  Toss them about to prevent them from sticking together, then fry them, or add them to your stir-fry or soup.  Supermarkets often carry several varieties of dried Asian noodles, which can be stored indefinitely.  Asian markets often carry fresh noodles, which can be kept for two or three days in your refrigerator.","['pasta', 'rice noodles']",
346,aspic powder,"aspic jelly powder, aspic leaves","This is used to make a gelatinous glaze for cold meat, fish, or vegetables.  When finished, the dish is said to be served ""in aspic.""   Commercial aspic powder is made of gelatin, salt, and other flavorings.  It also comes in sheets, called aspic leaves.",['gelatin'],
347,astri,,These tiny pasta shapes are usually served in a broth or very light soup.,['soup pasta'],
348,avena,,These tiny pasta shapes are usually served in a broth or very light soup.,['soup pasta'],
349,bajri flour,kurakkan,Poor farmers in India and Pakistan use this millet flour to make bread and griddle cakes.  It's gluten-free.  Look for it in India markets.,['sorghum flour'],
350,barley flour,,"other nonwheat flour  Notes:  To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour.","['wheat flour', 'rice flour', 'all-purpose flour']",
351,barquette,,This is a small round or oval pastry shell that's usually topped with sweet or savory fillings.,"['patty shell', 'croustade', 'tart shell']",
352,bavettine,mezze linguine,"These are long rods, narrower than linguine but wider than spaghetti. They're best with light, delicate sauces.","['linguine', 'spaghetti', 'fettuccine', 'pappardelle']",
353,bean curd skin noodles,yuba noodles,"These Chinese noodles are made from yuba, the skin that forms on soy milk when it's heated. They're chewy and very nutritious.",['yuba'],
354,bean threads,"bai fun, bean thread vermicelli, bun tao, bun tau, cellophane noodles, Chinese vermicelli, crystal noodles, fan si, fen si, fen szu, fun see, glass noodles, green bean thread noodles, invisible noodles, jelly noodles, mung  bean threads, mung pea noodles, pancit sotanghon, peastarch noodles, pekyasan, powdered silk noodles, sai fun, saifun, shining noodles, silver noodles, slippery noodles, sohoon, soo hoon, su boon, su un, tanghoon, translucent noodles, transparent noodles, transparent vermicelli, tung boon, vermicelli noodles, woon sen","These slender, gelatinous noodles are widely used throughout China and Southeast Asia.  They're made from mung beans and almost flavorless, though they readily absorb other flavors.   They're commonly used in soups, stir-fries, salads, desserts, and even drinks.  Before using, soak them in hot water until they're soft and transparent (about 15 minutes), then add them to boiling water and cook them for no more than a minute.  Rinse them in cold water and drain.  The dried noodles can also be deep fried to make a crunchy garnish or bed for sauces.","['harusame', 'rice vermicelli', 'shirataki', 'rice sticks']",
355,beurre manié,"beurre manie, kneaded butter","This flour-butter mixture is used to correct overly thin sauces at the last minute.  To make it, blend equal weights of butter and flour, then knead them together.  After you whisk it into a sauce, let it cook for no more than a minute or two, since sauces thickened with flour pick up a starchy taste after they've cooked for a few minutes.","['roux', 'tapioca starch']",
356,big couscous,,,[],
357,bigoli,,"This Venetian pasta resembles thick spaghetti, only it has a rough surface to better absorb flavorful sauces. It's good with shellfish, beans, or hearty meat sauces.","['spaghetti', 'vermicelli']",
358,biscuit mix,,"Use this mix to make biscuits as well as pancakes and other baked goods.  Bisquick is a well-known brand.   To make biscuits from biscuit mix, combine 2 parts biscuit mix with 1 part water, roll out on floured surface, cut into biscuits, and bake for about 10 minutes at 425º.",['shortening'],Triticum aestivum
359,black pasta,"pasta nera, squid-ink pasta","This is pasta flavored with squid or cuttlefish ink, which turns it black.  It's best served with shellfish.",[],
360,blue atole flour,,This is blue cornmeal that's been roasted. It's cooked and served for breakfast much like oatmeal.,[],
361,bread dough,,"You can make this yourself, or buy ready-made dough in the frozen foods sections of your supermarket.  In addition to baking them into bread, you can use them to make breadsticks, pizza dough, buns, rolls, and bagels.",['baked pizza crust'],Triticum aestivum
362,bread flour,"hard-wheat flour, high-gluten flour, strong flour","This flour has a high level of gluten, which gives bread more structure.  Don't confuse it with gluten flour (also called vital wheat gluten), which is pure gluten and used as a bread additive or to make seitan.
To see how to substitute other flours when making yeast breads, see the listing under all-purpose flour.",['all-purpose flour'],Triticum aestivum
363,buckwheat flour,,"This is a low-gluten gray flour that's great in pancakes and pastas. To see how to substitute other flours for wheat flours when making yeast breads, see the listing under all-purpose flour","['nonwheat flour', 'buckwheat groats', 'all-purpose flour']",Fagopyrum esculentum
364,cake flour,soft-wheat flour,"Includes:   self-rising cake flour   These substitutions will perform better if you also do this:  (1) Mix the batter as little as possible. (2) Separate eggs, beat the whites, and fold them into the batter.","['pastry flour', 'corn starch']",Triticum aestivum
365,amaranth seeds,amaranth,"These tiny ancient seeds have been cultivated in the Americas for several millennia. They're rich in protein and calcium, and have a pleasant, peppery flavor. One variety of amaranth is grown for its leaves, which are called Chinese spinach.","['millet', 'quinoa', 'buckwheat groats']",Amaranthus
366,arborio rice,Piedmont rice,"This plump white rice can absorb lots of water without getting mushy, so it's perfect for making risotto.  The best comes from Italy.  Arborio is very well-regarded","['Spanish rice', 'short-grain rice', 'pearl barley', 'medium-grain rice']","Oryza sativa, Japonica"
367,baby corn,"Chinese baby corn, corn, baby","These are tiny ears of corn that are eaten cob and all.  Asian cooks like to add them to stir-fried dishes, and they often show up in salad bars.  It's hard to find them fresh, but many markets sell them in cans or jars.","['corn', 'Barley']",Zea mays
368,Barley,,"Barley's been feeding humans for millennia, though it fell out of favor during the last one as people came to see it as low-brow peasant fare.   It's most often used in soups and stews, where it serves as both a puffy grain and a thickener, but it also makes a nice side dish or salad.  At most markets, you'll have to choose between two types of barley.  Hulled barley is the most nutritious, since only the tough outer hulls are polished off.  Pearl barley is polished some more, so that the outer bran layer is also scrubbed off.  It's less nutritious, but more popular since it's not as chewy as hulled barley and it cooks faster.","['pearl barley', 'buckwheat groats', 'spelt']",Hordeum vulgare
369,barley flakes,"flaked barley, rolled barley","To make this, barley kernels are sliced, then rolled flat into flakes.  Like rolled oats, rolled barley is usually served as a hot cereal.  It takes about 30 minutes to cook.",['rolled oats'],Hordeum vulgare
370,barley grits,,"These are barley kernels that have been toasted, and then cracked into smaller pieces in order to speed up the cooking time. They're a bit hard to find.","['buckwheat grits', 'hominy grits']",Hordeum vulgare
371,basmati rice,,"This aromatic, long-grain rice is grown in the foothills of the Himalayas and is especially popular in India.  The cooked grains are dry and fluffy, so they make a nice bed for curries and sauces. Basmati is available as either white or brown rice.  Brown basmati has more fiber and a stronger flavor, but it takes twice as long to cook.   Aged basmati rice is better, but more expensive.","['popcorn rice', 'jasmine rice', 'long-grain rice', 'wild pecan rice']",Oryza
372,Bhutanese red rice,,"This red short-grain rice is a staple in rural areas of Bhutan, a small kingdom nestled high in the Himalayas.  It has a strong, nutty flavor and is best served with other assertive ingredients.  It cooks much faster than brown rice.","['Wehani rice', 'brown rice']","Oryza sativa, Japonica"
373,black barley,Ethiopian black barley,"This is similar to pearl barley, only it has a black exterior.",['pearl barley'],Hordeum vulgare
374,black forbidden rice,,This has short grains which turn a beautiful indigo when cooked.,['risotto rice'],Oryza sativa
375,black japonica rice,,,[],Oryza sativa
376,black quinoa,,"Like ordinary quinoa, this cooks quickly, has a mild flavor, and a slightly crunchy texture.  Rinse off its bitter coating before using.",['quinoa'],Chenopodium quinoa
377,bran,polishings,"This is the made from the outer husk of the grain, and it's a rich source of fiber.  There are two types of fiber:  insoluble fiber, which passes right through us undigested, and soluble fiber, which is digested by friendly bacteria in our intestines.  Insoluble fiber is found in wheat bran and corn bran, and it's good for flushing out the intestines.  Soluble fiber, found in oat bran, makes you feel full, so it's good for dieters",['legumes'],
378,brown rice,whole grain rice,"Many rice varieties come as either brown rice or white rice.  Brown rice isn't milled as much as white, so it retains the bran and germ. That makes brown rice more fiber-rich, nutritious, and chewy.   Unfortunately, it doesn't perform as well as white rice in many recipes.  Long grains of brown rice aren't as fluffy and tender, and short grains aren't as sticky.  Brown rice also takes about twice as long to cook and has a much shorter shelf life (because of the oil in the germ).  Keep it in a cool, dark place for not more than three months. Refrigeration can extend shelf life.","['converted rice', 'wild pecan rice', 'white rice']",Oryza sativa
379,buckwheat,,"Buckwheat is gluten-free, and loaded with nutrients, especially protein, and it has a nutty, earthy flavor. It's most commonly ground into a dark, gritty flour and used to make everything from pancakes to soba noodles. Eastern Europeans also like their buckwheat crushed into small groats, which they toast in oil and use to make side dishes and breakfast cereals.",['all-purpose flour'],Fagopyrum esculentum
380,buckwheat grits,"buckwheat cereal, cream of buckwheat",These are finely ground buckwheat groats that cook very quickly.  They're commonly used as a breakfast cereal.,"['barley grits', 'hominy grits']",Fagopyrum esculentum
381,buckwheat groats,,"These are buckwheat kernels that are stripped of their inedible outer coating and then crushed into smaller pieces.  Unprocessed white groats are slightly bitter, so before you cook them it's a good idea to toast them in oil for several minutes until they're rust-colored.  This removes the bitterness and brings out a pleasant, nutty flavor.  If you don't want to do this yourself, you can buy already roasted groats, called kasha.","['kasha', 'millet', 'amaranth seeds', 'quinoa']",Fagopyrum esculentum
382,bulgur,"ala, birghil, bulgar, bulghur, bulgur wheat, burghal, burghul","Bulgur is made from whole wheat that's been soaked and baked to speed up the cooking time. It's especially popular in the Middle East, where it's used to make tabouli and pilafs. Bulgur comes either whole, or cracked into fine, medium, or coarse grains.","['cracked wheat', 'couscous', 'quinoa', 'water']",Triticum aestivum
383,converted rice,parboiled rice,"This is a good compromise between nutritious brown rice and tender, fast-cooking white rice.  Converted rice is steamed before it's husked, a process that causes the grains to absorb many of the nutrients from the husk.  When cooked, the grains are more nutritious, firmer, and less clingy than white rice grains.   Uncle Ben's is a well-known brand.","['brown rice', 'white rice']",Oryza sativa
384,corn,"maize, sweet corn","This is the only grain that's commonly eaten as a fresh vegetable.  Native to the Americas, corn is a great source of vitamin A, fiber, and other nutrients.
When corn comes into season during the summer, it's common to see people in supermarkets peeling back husks in search of ears with perfect rows of kernels.  Don't do that yourself.  Crooked rows taste just as good as straight, and keeping the husk on helps the corn stay sweet.  Freshness is a better criterion, since the sugars in corn begin converting into starch the moment it's picked.  The best test is to sample some kernels.   Frozen corn kernels are a good substitute when fresh corn is out of season, but canned corn is only a fair substitute.","['barley flakes', 'garden pea']",Zea mays
385,cracked wheat,,"These are cracked whole wheat kernels.  They cook faster than wheat berries, but not as fast as bulgur.",['bulgur'],Triticum aestivum
386,cream of rice,,,"['cream of wheat', 'farina']",Oryza sativa
387,flakes,rolled grains,"These are grains that are steamed, rolled, and flaked.   They can be cooked briefly to make a hot cereal, sprinkled on casseroles, or added to granola mixes, cookies, or soups.",[],
388,flour,,"Flours are made from grains or nuts that are finely ground to a powdery consistency.  They're used to make breads and other baked goods, but they also serve to thicken stews and sauces and to coat foods about to be fried.","['sorghum flour', 'corn starch', 'arrowroot starch']",
389,germ,,"This is the exceptionally nutritious embryo found within the grain kernel.  It contains oil, so it has a relatively short shelf life.  Many cooks store small jars of it in the refrigerator, and use small amounts of it to fortify breads and cereals.",[],
390,glutinous rice,"botan rice, Chinese sweet rice, Japanese rice, mochi rice, pearl rice, sticky rice, sushi rice, sweet rice, waxy rice","Despite its name, this rice isn't sweet and it doesn't contain gluten.  Instead, it's a very sticky, short-grain rice that is widely used by Asians, who use it to make sushi and various desserts.   You can buy this as either white or black (actually a rust color) rice.","['risotto rice', 'short-grain rice', 'medium-grain rice']","Oryza sativa, glutinosa"
391,grains,"cereal grains, cereals","To get information about different forms and varieties of grains, click here. If you're looking to avoid gluten, consider a gluten-free grain, like amaranth, buckwheat, corn, quinoa, rice, and teff. ","['cauliflower', 'butternut squash', 'lettuce', 'zucchini']",
392,grits,"cracked grains, steel-cut grains",These are grains that have been cut into smaller pieces so they cook faster.,"['oatmeal', 'cream of wheat']",
393,hato mugi,"Job's tears, pressed barley","Look for these large, pressed barley kernels in Asian markets.",['pearl barley'],Hordeum vulgare
394,Himalayan red rice,,"This is a Himalayan version of our long-grain brown rice, only the bran is red, not brown.",['long-grain rice'],Oryza longistaminata
395,hominy,"posole, pozole","These are hulled corn kernels that have been stripped of their bran and germ. Southern cooks usually boil whole or ground hominy until it's tender, and then they serve it in much the same way that Northern cooks would serve potatoes.  Varieties include lye hominy, which is made by soaking corn kernels in a weak lye bath, and pearl hominy, which is made by crushing corn kernels mechanically.   White hominy is made from white corn kernels, and the sweeter yellow hominy is made from yellow.  Samp is coarsely ground or broken hominy, while hominy grits are more finely ground.  You can buy hominy canned or dried.","['barley grits', 'dried beans', 'buckwheat', 'potato']",Zea mays
