,Name,Also known as,Description,Substitutions,Scientific name
277,cape capensis,"African hake, Cape hake, Cape whiting, shallow-water Cape hake, South African hake",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'cod'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'pollock'}]",Merluccius capensis
278,capelin roe,masago,"Japanese cooks use these tiny, fluorescent eggs as a topping for sushi.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'flying fish roe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'golden caviar'}]",Mallotus villosus
279,carp,While carp,,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'buffalofish'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'bluefish'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'perch'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Chilean sea bass'}]",Cyprinidae
280,catfish,,,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'mahi-mahi'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'grouper'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'pike'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'whitefish'}]",Siluriformes
281,caviar,"Malossol caviar, payusnaya caviar, pressed caviar, sturgeon roe","Over-fishing in the Caspian Sea has greatly depleted sturgeon populations. Please consider using roe from more abundant species until the Caspian Sea sturgeon populations can recover.Caviar is known for its subtle, buttery flavor, sensuous texture, and high price. It should always be served cold.Just as diamonds are rated according to the four Cs, caviar can be evaluated by the three Fs--flavor, firmness, and freshness. The flavor of caviar depends on the sturgeon's species and habitat, and is variously described as buttery, nutty, sweet, fruity, earthy, briny, and even herbaceous. The firmness of each egg determines how the eggs burst when you squeeze them against the roof of your mouth with your tongue. Fresh caviar is considered much better than the pasteurized version.Varieties: (from highest to lowest price) imperial caviar, beluga caviar, ossetra caviar, and sevruga caviar. Imperial caviar is the rarest and most expensive. Beluga caviar is soft, and almost melts in your mouth. Ossetra and sevruga caviars are relatively firm, and will pop when gently squeezed. Within these categories, malossol, or lightly salted caviar, is of higher quality than pressed caviar = payusnaya.If substituting an inferior caviar, consider perking it up with a splash of fresh lemon juice.Equivalents: 2 tablespoons = 1 ounceFresh caviar lasts just over a year if properly stored, though its shelf-life can be extended with heavy salting. Experts claim that some of the fresh caviar that's being sold at bargain prices over the Internet is well past its prime. The color and size of the eggs--called the bead--can help you (and your guests) identify the different varieties of caviar.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'hackleback roe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'paddlefish roe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'salmon roe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'lumpfish roe'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'bowfin roe'}]",
282,cherrystone clam,"chowder clams, hard clam, quahog",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Manila clam'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'littleneck clams'}]",Mercenaria mercenaria
283,Chilean sea bass,Patagonian toothfish,,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'sablefish'}]",Dissostichus eleginoides
284,chinook salmon,"king salmon, spring salmon",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'coho salmon'}]",Oncorhynchus tshawytscha
285,chum salmon,"dog salmon, keta salmon, silverbrite salmon",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'coho salmon'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'chinook salmon'}]",Oncorhynchus keta
286,clam,,"See also pismo clam, soft-shell clam, razor clam, Manila clam, hard-shell clam, bar clam, and geoduck clam. Storage: Unopened canned clams can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'mussels'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'cockle'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'abalone'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'scallop'}]",
287,cobia,"black bonito, black kingfish, black salmon, coalfish, crabeater, lemonfish, ling, sergeant fish",,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'monkfish'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'shark'}]",Rachycentron canadum
288,cockle,,,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'clam'}]",Cardiidae
289,cod,"cod cheeks, cod sounds, cod tongues, codling, markets, schrod, scrod, streakers","This includes cod cheeks, which are good and inexpensive, cod tongues, cod sounds, which are the cod's air bladders, and scrod = schrod, which are young cod.  See also salt cod.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'pollock'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'cape capensis'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'halibut'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'sole'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'flounder'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'orange roughy'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'haddock'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'whiting'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'hake'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'ocean perch'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'tilapia'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'catfish'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'tilefish'}]",Gadidae
290,almond filling,,This sweet filling is used to make pastries and cakes.,"[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'almond paste'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'marzipan'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'hazelnut paste'}]",Prunus dulcis
291,almond paste,Bitter almond paste,"This is a paste made with finely ground blanched almonds, sugar, glycerin, and sometimes almond extract.   Bakers use it to make cakes and cookies.   Bitter almond paste is flavored with oil of bitter almonds, and is worth seeking out if you plan to make amaretti.  Look for tubes or cans of it among the baking supplies at your supermarket.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'marzipan'}]",Prunus dulcis
292,amchoor,"aamchur, amchor, amchur, dried green mango, dried mango powder, green mango powder, umchoor","This is made from sun-dried mangoes, and it's used as a souring agent or to tenderize meats.  Indian or Middle Eastern grocery stores carry it.","[{'Carbs': '', 'Calories': '6.9 g', 'Salt': '22 Cals.', 'Fats': '1 mg', 'Cholesterol': '0.2 g', 'Vitamin C': '0 mg', 'Calcium': '38.7 mg', 'Protein': '6 mg', 'Sugars': '0.4 g', 'Fiber': '2.5 g', 'Mono fats': '0.3 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'lemon juice'}, {'Carbs': '', 'Calories': '8.4 g', 'Salt': '25 Cals.', 'Fats': '2 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '30 mg', 'Protein': '14 mg', 'Sugars': '0.4 g', 'Fiber': '1.7 g', 'Mono fats': '0.4 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'lime juice'}, {'Carbs': '', 'Calories': '62.5 g', 'Salt': '239 Cals.', 'Fats': '28 mg', 'Cholesterol': '0.6 g', 'Vitamin C': '0 mg', 'Calcium': '3.5 mg', 'Protein': '74 mg', 'Sugars': '2.8 g', 'Fiber': '38.8 g', 'Mono fats': '5.1 g', 'Poly fats': '0.2 g', 'Saturated fats': '0.1 g', 'Name': 'tamarind'}, {'Carbs': '', 'Calories': '15 g', 'Salt': '60 Cals.', 'Fats': '1 mg', 'Cholesterol': '0.4 g', 'Vitamin C': '0 mg', 'Calcium': '36.4 mg', 'Protein': '11 mg', 'Sugars': '0.8 g', 'Fiber': '13.7 g', 'Mono fats': '1.6 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.1 g', 'Name': 'mango'}, {'Carbs': '', 'Calories': '10.8 g', 'Salt': '43 Cals.', 'Fats': '8 mg', 'Cholesterol': '0.3 g', 'Vitamin C': '0 mg', 'Calcium': '60.9 mg', 'Protein': '20 mg', 'Sugars': '0.5 g', 'Fiber': '7.8 g', 'Mono fats': '1.7 g', 'Poly fats': '0.1 g', 'Saturated fats': '0.1 g', 'Name': 'papaya'}]",
293,angelica,"archangel, ground ash, masterwort","Angelica is prized for its crunchy stems, which are often candied and used to decorate baked goods.  You can also use the leaves and stems to add a celery flavor to liqueurs, sauces, and vegetable side dishes.","[{'Carbs': '', 'Name': 'lovage'}, {'Carbs': '', 'Calories': '0 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'tarragon'}]",Angelica
294,Angostura® bitters,"Angostura aromatic bitters, aromatic bitters","This famous rum-based brand of bitters was first developed in the 1800s by Simon Bolivar's personal physician. It's 45% alcohol, and comes in small brown bottles with yellow caps. It's now produced in Trinidad.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': ""Peychaud's bitters""}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'Fernet Branca'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'orange bitters'}, {'Carbs': '', 'Calories': '19.5 g', 'Salt': '78 Cals.', 'Fats': '980 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '13 mg', 'Protein': '107 mg', 'Sugars': '0 g', 'Fiber': '10 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'Worcestershire sauce'}]",
295,anise basil,"bai horapha, húng qu?, licorice basil, Thai basil",This is used in Southeast Asia.,"[{'Carbs': '', 'Calories': '1 g', 'Salt': '5 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '1 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'holy basil'}, {'Carbs': '', 'Calories': '2.9 g', 'Salt': '24 Cals.', 'Fats': '4.6 mg', 'Cholesterol': '0.6 g', 'Name': 'mint'}]","Ocimum basilicum, licorice"
296,anise extract,,"This tastes like licorice, and it's typically used to flavor cakes and cookies.","[{'Carbs': '', 'Name': 'anise oil'}, {'Carbs': '', 'Name': 'anise-flavored liqueurs'}, {'Carbs': '', 'Calories': '50 g', 'Salt': '337 Cals.', 'Fats': '16 mg', 'Cholesterol': '15.9 g', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '646 mg', 'Sugars': '17.6 g', 'Fiber': '0 g', 'Mono fats': '14.6 g', 'Poly fats': '9.8 g', 'Saturated fats': '3.2 g', 'Name': 'anise seed'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'vanilla extract'}]",Pimpinella anisum
297,anise oil,,"This imparts a licorice flavor to foods. Look for it near the spices in large supermarkets or in candy supply stores or pharmacies. You can store flavoring oils indefinitely in a cool, dark place.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'anise extract'}]",Pimpinella anisum
298,anise seed,"anis, aniseed","Cooks use anise seed to impart a licorice flavor to baked goods, liqueurs, and candies.","[{'Carbs': '', 'Calories': '52.3 g', 'Salt': '345 Cals.', 'Fats': '88 mg', 'Cholesterol': '14.9 g', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '1196 mg', 'Sugars': '15.8 g', 'Fiber': '0 g', 'Mono fats': '39.8 g', 'Poly fats': '9.9 g', 'Saturated fats': '1.7 g', 'Name': 'fennel seed'}, {'Carbs': '', 'Calories': '0 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'star anise'}, {'Carbs': '', 'Calories': '49.9 g', 'Salt': '333 Cals.', 'Fats': '17 mg', 'Cholesterol': '14.6 g', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '689 mg', 'Sugars': '19.8 g', 'Fiber': '0.6 g', 'Mono fats': '38 g', 'Poly fats': '7.1 g', 'Saturated fats': '3.3 g', 'Name': 'caraway seed'}, {'Carbs': '', 'Calories': '0 g', 'Salt': '0 Cals.', 'Fats': '0 mg', 'Cholesterol': '0 g', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 mg', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono fats': '0 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'tarragon'}]",Pimpinella anisum
299,annatto seeds,"achiote seed, achote seed, achuete seed, annotto seed, atsuete seed, bija, bijol, roucou","Annatto seeds don't have a lot of flavor, but they impart a rich reddish-orange color to stews and sauces. Look for the seeds, either whole or ground, in Latin American or Caribbean markets. To extract the color, steep the seeds in boiling water for about 20 minutes, then discard the seeds.","[{'Carbs': '', 'Name': 'food coloring'}, {'Carbs': '', 'Calories': '54 g', 'Salt': '282 Cals.', 'Fats': '68 mg', 'Cholesterol': '12.9 g', 'Vitamin C': '0 mg', 'Calcium': '0.9 mg', 'Protein': '229 mg', 'Sugars': '14.1 g', 'Fiber': '10.3 g', 'Mono fats': '34.9 g', 'Poly fats': '1.7 g', 'Saturated fats': '7.8 g', 'Name': 'paprika'}, {'Carbs': '', 'Calories': '60.4 g', 'Salt': '296.7 Cals.', 'Fats': '48 mg', 'Cholesterol': '8.2 g', 'Name': 'turmeric'}]",Bixa orellana
300,apéritif,"aperitif, apertivo","Apéritifs are alcoholic drinks that, like appetizers, are served before dinner to perk up the appetite and wake up the taste buds. Examples include fortified wines, herbal and bitter liqueurs, and sparkling wines. Europeans often prefer these over cocktails.",[],
301,apple brandy,"apple jack (is the inferior American version), applejack (is the inferior American version), calva (cal-VAH-dohs the French version), Calvados (cal-VAH-dohs the French version), cider brandy, eau-de-vie de cidre, eau-de-vie de marc de cidre","This exquisite brandy has a soft apple fragrance. Calvados = calva (cal-VAH-dohs) is the French version, applejack = apple jack is the inferior American version. Calvados is ranked much like cognac. The very best Calvados are labeled Napoleon, Extra Old (XO), Extra, or Hors D'Age. After that comes VSOP, Vieille Reserve, or VO. Next come Vieux or Reserve Calvados, then those with three stars or three apples on their labels.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'pear brandy'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'apple juice'}]",
302,apple cider,,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.","[{'Carbs': '', 'Calories': '11.3 g', 'Salt': '46 Cals.', 'Fats': '4 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '10.3 mg', 'Protein': '8 mg', 'Sugars': '0.1 g', 'Fiber': '9.6 g', 'Mono fats': '0.2 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'apple juice'}]",Malus domestica
303,apple juice,,"Apple juice and apple cider are very similar, except that all of the apple pulp is filtered out of the juice, while some remains in the cider.","[{'Carbs': '', 'Calories': '11.3 g', 'Salt': '46 Cals.', 'Fats': '4 mg', 'Cholesterol': '0.1 g', 'Vitamin C': '0 mg', 'Calcium': '0.9 mg', 'Protein': '8 mg', 'Sugars': '0.1 g', 'Fiber': '9.6 g', 'Mono fats': '0.2 g', 'Poly fats': '0 g', 'Saturated fats': '0 g', 'Name': 'apple cider'}]",Malus domestica
304,apple pie spice,,,"[{'Carbs': '', 'Calories': '55.8 g', 'Salt': '185.6 Cals.', 'Fats': '8.3 mg', 'Cholesterol': '1.7 g', 'Name': 'cardamom'}]",
305,apricot brandy,"Abricotine, barack, Barack Pálinka","This is distilled from apricot juice. Brands include the French Abricotine, and the Hungarian Barack Pálinka.","[{'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'apricot liqueur'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'cherry brandy'}, {'Carbs': None, 'Calories': None, 'Salt': None, 'Fats': None, 'Cholesterol': None, 'Vitamin C': None, 'Calcium': None, 'Protein': None, 'Sugars': None, 'Fiber': None, 'Mono fats': None, 'Poly fats': None, 'Saturated fats': None, 'Name': 'orange liqueur'}]",
